Date Time Observed.Flux
2018-01-01 18:00:00 70.0
2018-01-01 20:00:00 69.1
2018-01-01 22:00:00 72.6
2018-01-02 18:00:00 72.0
2018-01-02 20:00:00 69.5
2018-01-02 22:00:00 70.0
2018-01-03 18:00:00 71.4
2018-01-03 20:00:00 70.7
2018-01-03 22:00:00 70.5
2018-01-04 18:00:00 70.1
2018-01-04 20:00:00 69.5
2018-01-04 22:00:00 69.6
2018-01-05 18:00:00 69.1
2018-01-05 20:00:00 69.3
2018-01-05 22:00:00 68.6
2018-01-06 18:00:00 69.6
2018-01-06 20:00:00 69.4
2018-01-06 22:00:00 69.3
2018-01-07 18:00:00 70.2
2018-01-07 20:00:00 69.9
2018-01-07 22:00:00 69.7
2018-01-08 18:00:00 70.5
2018-01-08 20:00:00 70.3
2018-01-08 22:00:00 69.8
2018-01-09 18:00:00 71.1
2018-01-09 20:00:00 70.8
2018-01-09 22:00:00 70.0
2018-01-10 18:00:00 71.0
2018-01-10 20:00:00 70.4
2018-01-10 22:00:00 71.1
2018-01-11 18:00:00 70.8
2018-01-11 20:00:00 70.8
2018-01-11 22:00:00 69.5
2018-01-12 18:00:00 69.8
2018-01-12 20:00:00 70.9
2018-01-12 22:00:00 69.2
2018-01-13 18:00:00 70.3
2018-01-13 20:00:00 70.8
2018-01-13 22:00:00 70.5
2018-01-14 18:00:00 70.7
2018-01-14 20:00:00 70.5
2018-01-14 22:00:00 69.7
2018-01-15 18:00:00 70.0
2018-01-15 20:00:00 70.2
2018-01-15 22:00:00 70.3
2018-01-16 18:00:00 70.6
2018-01-16 20:00:00 71.1
2018-01-16 22:00:00 71.6
2018-01-17 18:00:00 70.8
2018-01-17 20:00:00 70.9
2018-01-17 22:00:00 70.7
2018-01-18 18:00:00 71.5
2018-01-18 20:00:00 71.1
2018-01-18 22:00:00 71.6
2018-01-19 18:00:00 70.3
2018-01-19 20:00:00 70.8
2018-01-19 22:00:00 71.2
2018-01-20 18:00:00 70.2
2018-01-20 20:00:00 69.6
2018-01-20 22:00:00 69.7
2018-01-21 18:00:00 69.2
2018-01-21 20:00:00 68.3
2018-01-21 22:00:00 68.9
2018-01-22 18:00:00 70.3
2018-01-22 20:00:00 70.1
2018-01-22 22:00:00 70.2
2018-01-23 18:00:00 70.8
2018-01-23 20:00:00 70.5
2018-01-23 22:00:00 70.3
2018-01-24 18:00:00 69.9
2018-01-24 20:00:00 69.9
2018-01-24 22:00:00 69.8
2018-01-25 18:00:00 69.9
2018-01-25 20:00:00 70.3
2018-01-25 22:00:00 69.8
2018-01-26 18:00:00 69.8
2018-01-26 20:00:00 69.8
2018-01-26 22:00:00 69.6
2018-01-27 20:00:00 68.8
2018-01-27 22:00:00 69.2
2018-01-28 18:00:00 67.9
2018-01-28 20:00:00 68.5
2018-01-28 22:00:00 67.9
2018-01-29 18:00:00 68.2
2018-01-29 20:00:00 68.2
2018-01-29 22:00:00 68.0
2018-01-30 18:00:00 69.6
2018-01-30 20:00:00 68.9
2018-01-30 22:00:00 69.7
2018-01-31 18:00:00 69.8
2018-01-31 20:00:00 69.2
2018-01-31 22:00:00 68.9
2018-02-01 18:00:00 69.3
2018-02-01 20:00:00 69.0
2018-02-01 22:00:00 69.3
2018-02-02 20:00:00 68.8
2018-02-02 22:00:00 68.6
2018-02-03 18:00:00 69.9
2018-02-03 20:00:00 69.2
2018-02-03 22:00:00 70.3
2018-02-04 18:00:00 70.5
2018-02-04 20:00:00 73.0
2018-02-04 22:00:00 71.0
2018-02-05 18:00:00 74.3
2018-02-05 20:00:00 74.0
2018-02-05 22:00:00 74.3
2018-02-06 18:00:00 75.5
2018-02-06 18:06:19 76.7
2018-02-06 20:00:00 76.9
2018-02-06 22:00:00 75.1
2018-02-07 18:00:00 76.6
2018-02-07 20:00:00 76.6
2018-02-07 22:00:00 77.4
2018-02-08 18:00:00 79.1
2018-02-08 20:00:00 77.5
2018-02-08 22:00:00 78.4
2018-02-09 18:00:00 78.6
2018-02-09 20:00:00 78.1
2018-02-09 22:00:00 77.4
2018-02-10 18:00:00 78.7
2018-02-10 20:00:00 78.2
2018-02-10 22:00:00 78.9
2018-02-11 18:00:00 77.5
2018-02-11 20:00:00 78.2
2018-02-11 22:00:00 77.3
2018-02-12 18:00:00 78.0
2018-02-12 20:00:00 78.6
2018-02-12 22:00:00 78.4
2018-02-13 18:00:00 76.6
2018-02-13 20:00:00 75.9
2018-02-13 22:00:00 75.3
2018-02-14 18:00:00 74.5
2018-02-14 20:00:00 75.3
2018-02-14 22:00:00 75.1
2018-02-15 18:00:00 72.2
2018-02-15 20:00:00 72.5
2018-02-15 22:00:00 72.7
2018-02-16 18:00:00 70.9
2018-02-16 20:00:00 71.5
2018-02-16 22:00:00 72.0
2018-02-17 18:00:00 69.6
2018-02-17 20:00:00 69.0
2018-02-17 22:00:00 72.1
2018-02-18 18:00:00 70.4
2018-02-18 20:00:00 70.3
2018-02-18 22:00:00 69.9
2018-02-19 18:00:00 69.0
2018-02-19 20:00:00 69.1
2018-02-19 22:00:00 69.7
2018-02-19 22:00:00 70.9
2018-02-20 18:00:00 68.4
2018-02-20 18:00:00 70.4
2018-02-20 20:00:00 67.8
2018-02-20 20:00:00 70.5
2018-02-20 22:00:00 68.4
2018-02-20 22:00:00 70.5
2018-02-21 18:00:00 68.6
2018-02-21 18:00:00 70.2
2018-02-21 20:00:00 67.6
2018-02-21 22:00:00 67.9
2018-02-22 18:00:00 68.1
2018-02-22 18:00:00 70.7
2018-02-22 20:00:00 68.4
2018-02-22 20:00:00 69.7
2018-02-22 22:00:00 68.2
2018-02-22 22:00:00 70.6
2018-02-23 18:00:00 67.9
2018-02-23 18:00:00 70.1
2018-02-23 20:00:00 67.6
2018-02-23 20:00:00 70.0
2018-02-23 22:00:00 68.0
2018-02-23 22:00:00 70.2
2018-02-24 18:00:00 67.5
2018-02-24 18:00:00 69.3
2018-02-24 20:00:00 68.2
2018-02-24 20:00:00 70.0
2018-02-24 22:00:00 67.5
2018-02-24 22:00:00 70.2
2018-02-25 18:00:00 67.5
2018-02-25 18:00:00 69.3
2018-02-25 20:00:00 67.2
2018-02-25 20:00:00 69.2
2018-02-25 22:00:00 67.3
2018-02-25 22:00:00 69.9
2018-02-26 18:00:00 69.4
2018-02-26 18:00:00 71.4
2018-02-26 20:00:00 69.8
2018-02-26 20:00:00 72.0
2018-02-26 22:00:00 69.3
2018-02-26 22:00:00 71.4
2018-02-27 18:00:00 67.9
2018-02-27 18:00:00 70.0
2018-02-27 20:00:00 67.9
2018-02-27 20:00:00 70.0
2018-02-27 22:00:00 67.8
2018-02-27 22:00:00 69.9
2018-02-28 18:00:00 68.4
2018-02-28 18:00:00 69.9
2018-02-28 20:00:00 68.8
2018-02-28 20:00:00 69.9
2018-02-28 22:00:00 68.5
2018-02-28 22:00:00 70.2
2018-03-01 17:00:00 67.8
2018-03-01 20:00:00 67.2
2018-03-01 23:00:00 67.8
2018-03-02 17:00:00 66.9
2018-03-02 20:00:00 67.8
2018-03-02 23:00:00 67.2
2018-03-03 17:00:00 67.5
2018-03-03 20:00:00 67.8
2018-03-03 23:00:00 67.4
2018-03-04 17:00:00 68.3
2018-03-04 20:00:00 67.5
2018-03-04 23:00:00 68.0
2018-03-05 17:00:00 67.7
2018-03-05 20:00:00 67.6
2018-03-05 23:00:00 67.9
2018-03-06 17:00:00 67.2
2018-03-06 20:00:00 67.6
2018-03-06 23:00:00 68.0
2018-03-07 17:00:00 67.9
2018-03-07 20:00:00 67.8
2018-03-07 23:00:00 67.5
2018-03-08 17:00:00 67.4
2018-03-08 20:00:00 66.6
2018-03-08 23:00:00 66.7
2018-03-09 17:00:00 67.7
2018-03-09 20:00:00 67.5
2018-03-09 23:00:00 67.6
2018-03-10 17:00:00 67.6
2018-03-10 20:00:00 67.7
2018-03-10 23:00:00 68.2
2018-03-11 17:00:00 68.2
2018-03-11 20:00:00 67.8
2018-03-11 23:00:00 68.9
2018-03-12 17:00:00 69.0
2018-03-12 20:00:00 68.1
2018-03-12 23:00:00 68.9
2018-03-13 17:00:00 68.9
2018-03-13 20:00:00 68.6
2018-03-13 23:00:00 68.9
2018-03-14 17:00:00 68.2
2018-03-14 20:00:00 67.7
2018-03-14 23:00:00 68.6
2018-03-15 17:00:00 68.6
2018-03-15 20:00:00 69.0
2018-03-15 23:00:00 68.9
2018-03-16 17:00:00 68.5
2018-03-16 20:00:00 68.6
2018-03-16 23:00:00 68.4
2018-03-17 17:00:00 69.6
2018-03-17 20:00:00 69.7
2018-03-17 23:00:00 68.5
